concept_id,search_text,best_rank,n_periods,level_of_truth,match_type,match_confidence,evidence,caveats,human_review_needed,review_status,reviewer,valid_from
CG-0009,electric lunch box,1345,8,concept,rule_keyword,0.85,term ~* 'electric lunch box|lunch warmer' in last 8 weekly periods,exact concept term,false,,,2026-07-05
CG-0009,electric lunch box for adults,4445,8,concept,rule_keyword,0.85,term ~* 'electric lunch box|lunch warmer' in last 8 weekly periods,exact concept term,false,,,2026-07-05
CG-0009,east oak cordless electric lunch box for adults,9414,2,concept,rule_keyword,0.85,term ~* 'electric lunch box|lunch warmer' in last 8 weekly periods,exact concept term,false,,,2026-07-05
CG-0009,cordless electric lunch box,13704,8,concept,rule_keyword,0.85,term ~* 'electric lunch box|lunch warmer' in last 8 weekly periods,exact concept term,false,,,2026-07-05
CG-0010,candle warmer lamp,20,8,concept,rule_keyword,0.85,term ~* 'candle warmer' in last 8 weekly periods,exact concept term,false,,,2026-07-05
CG-0010,candle warmer,64,8,concept,rule_keyword,0.85,term ~* 'candle warmer' in last 8 weekly periods,exact concept term,false,,,2026-07-05
CG-0010,candle warmer lamp with timer,722,7,concept,rule_keyword,0.85,term ~* 'candle warmer' in last 8 weekly periods,exact concept term,false,,,2026-07-05
CG-0010,candle warmers,6092,8,concept,rule_keyword,0.85,term ~* 'candle warmer' in last 8 weekly periods,exact concept term,false,,,2026-07-05
CG-0010,lamp candle warmer,8594,1,concept,rule_keyword,0.85,term ~* 'candle warmer' in last 8 weekly periods,exact concept term,false,,,2026-07-05
CG-0011,meat thermometer,62,8,concept,rule_keyword,0.75,term ~* 'instant read thermometer|meat thermometer' in last 8 weekly periods,term family,true,,,2026-07-05
CG-0011,meat thermometer digital,191,8,concept,rule_keyword,0.75,term ~* 'instant read thermometer|meat thermometer' in last 8 weekly periods,term family,true,,,2026-07-05
CG-0011,digital meat thermometer,1087,8,concept,rule_keyword,0.75,term ~* 'instant read thermometer|meat thermometer' in last 8 weekly periods,term family,true,,,2026-07-05
CG-0011,wireless meat thermometer,1269,8,concept,rule_keyword,0.75,term ~* 'instant read thermometer|meat thermometer' in last 8 weekly periods,term family,true,,,2026-07-05
CG-0011,instant read meat thermometer,2028,8,concept,rule_keyword,0.75,term ~* 'instant read thermometer|meat thermometer' in last 8 weekly periods,term family,true,,,2026-07-05
CG-0012,meat chopper,3461,8,concept,rule_keyword,0.85,term ~* 'meat chopper' in last 8 weekly periods,exact concept term,false,,,2026-07-05
CG-0012,ground meat chopper,8537,8,concept,rule_keyword,0.85,term ~* 'meat chopper' in last 8 weekly periods,exact concept term,false,,,2026-07-05
CG-0012,meat chopper for ground beef,9255,8,concept,rule_keyword,0.85,term ~* 'meat chopper' in last 8 weekly periods,exact concept term,false,,,2026-07-05
CG-0012,meat chopper silicone,20000,4,concept,rule_keyword,0.85,term ~* 'meat chopper' in last 8 weekly periods,exact concept term,false,,,2026-07-05
CG-0013,glass food storage containers with lids,224,8,concept,rule_keyword,0.75,term ~* 'glass meal prep|divided meal prep|glass food storage' in last 8 weekly periods,term family,true,,,2026-07-05
CG-0013,glass meal prep containers,306,8,concept,rule_keyword,0.75,term ~* 'glass meal prep|divided meal prep|glass food storage' in last 8 weekly periods,term family,true,,,2026-07-05
CG-0013,glass food storage,1725,8,concept,rule_keyword,0.75,term ~* 'glass meal prep|divided meal prep|glass food storage' in last 8 weekly periods,term family,true,,,2026-07-05
CG-0013,glass food storage containers,1846,8,concept,rule_keyword,0.75,term ~* 'glass meal prep|divided meal prep|glass food storage' in last 8 weekly periods,term family,true,,,2026-07-05
CG-0013,rubbermaid glass food storage containers,3636,8,concept,rule_keyword,0.75,term ~* 'glass meal prep|divided meal prep|glass food storage' in last 8 weekly periods,term family,true,,,2026-07-05
CG-0014,glass containers with bamboo lids,15049,7,concept,rule_keyword,0.75,term ~* 'bamboo lid' in last 8 weekly periods,attribute term,true,,,2026-07-05
CG-0014,glass jars with bamboo lids,16562,8,concept,rule_keyword,0.75,term ~* 'bamboo lid' in last 8 weekly periods,attribute term,true,,,2026-07-05
CG-0015,silicone spatula,526,8,concept,rule_keyword,0.70,term ~* 'silicone utensil|silicone spatula' in last 8 weekly periods,term family,true,,,2026-07-05
CG-0015,silicone spatula set,3455,8,concept,rule_keyword,0.70,term ~* 'silicone utensil|silicone spatula' in last 8 weekly periods,term family,true,,,2026-07-05
CG-0015,silicone utensils set for cooking,5030,8,concept,rule_keyword,0.70,term ~* 'silicone utensil|silicone spatula' in last 8 weekly periods,term family,true,,,2026-07-05
CG-0015,silicone utensils,8731,8,concept,rule_keyword,0.70,term ~* 'silicone utensil|silicone spatula' in last 8 weekly periods,term family,true,,,2026-07-05
CG-0015,small silicone spatula,11668,8,concept,rule_keyword,0.70,term ~* 'silicone utensil|silicone spatula' in last 8 weekly periods,term family,true,,,2026-07-05
CG-0016,fridge organizers and storage,473,8,concept,rule_keyword,0.70,term ~* 'lazy susan|fridge organizer' in last 8 weekly periods,term family,true,,,2026-07-05
CG-0016,lazy susan,817,8,concept,rule_keyword,0.70,term ~* 'lazy susan|fridge organizer' in last 8 weekly periods,term family,true,,,2026-07-05
CG-0016,lazy susan organizer for cabinet,1572,8,concept,rule_keyword,0.70,term ~* 'lazy susan|fridge organizer' in last 8 weekly periods,term family,true,,,2026-07-05
CG-0016,lazy susan for table top,3025,8,concept,rule_keyword,0.70,term ~* 'lazy susan|fridge organizer' in last 8 weekly periods,term family,true,,,2026-07-05
CG-0016,fridge organizer,3474,8,concept,rule_keyword,0.70,term ~* 'lazy susan|fridge organizer' in last 8 weekly periods,term family,true,,,2026-07-05
CG-0017,bread pan,890,8,concept,rule_keyword,0.65,term ~* 'bread pan|dutch oven bread|cast iron bread' in last 8 weekly periods,broad family - review,true,,,2026-07-05
CG-0017,bread pans for homemade bread,4611,8,concept,rule_keyword,0.65,term ~* 'bread pan|dutch oven bread|cast iron bread' in last 8 weekly periods,broad family - review,true,,,2026-07-05
CG-0017,bread pans,6053,8,concept,rule_keyword,0.65,term ~* 'bread pan|dutch oven bread|cast iron bread' in last 8 weekly periods,broad family - review,true,,,2026-07-05
CG-0017,baguette bread pan,7482,8,concept,rule_keyword,0.65,term ~* 'bread pan|dutch oven bread|cast iron bread' in last 8 weekly periods,broad family - review,true,,,2026-07-05
CG-0017,banana bread pan,11011,8,concept,rule_keyword,0.65,term ~* 'bread pan|dutch oven bread|cast iron bread' in last 8 weekly periods,broad family - review,true,,,2026-07-05
CG-0018,ceramic bakeware set,15451,6,concept,rule_keyword,0.80,term ~* 'ceramic bakeware' in last 8 weekly periods,exact concept term,true,,,2026-07-05
CG-0018,ceramic bakeware,22667,1,concept,rule_keyword,0.80,term ~* 'ceramic bakeware' in last 8 weekly periods,exact concept term,true,,,2026-07-05
CG-0019,drink dispenser,573,8,concept,rule_keyword,0.80,term ~* 'beverage dispenser|drink dispenser' in last 8 weekly periods,term family,true,,,2026-07-05
CG-0019,drink dispensers for parties,760,8,concept,rule_keyword,0.80,term ~* 'beverage dispenser|drink dispenser' in last 8 weekly periods,term family,true,,,2026-07-05
CG-0019,beverage dispenser,1853,8,concept,rule_keyword,0.80,term ~* 'beverage dispenser|drink dispenser' in last 8 weekly periods,term family,true,,,2026-07-05
CG-0019,glass drink dispenser,4937,8,concept,rule_keyword,0.80,term ~* 'beverage dispenser|drink dispenser' in last 8 weekly periods,term family,true,,,2026-07-05
CG-0019,drink dispenser for fridge,6823,8,concept,rule_keyword,0.80,term ~* 'beverage dispenser|drink dispenser' in last 8 weekly periods,term family,true,,,2026-07-05
CG-0020,magnetic spice rack for refrigerator,2636,8,concept,rule_keyword,0.85,term ~* 'magnetic spice' in last 8 weekly periods,exact concept term,false,,,2026-07-05
CG-0020,magnetic spice rack,3856,8,concept,rule_keyword,0.85,term ~* 'magnetic spice' in last 8 weekly periods,exact concept term,false,,,2026-07-05
CG-0020,magnetic spice jars,13356,8,concept,rule_keyword,0.85,term ~* 'magnetic spice' in last 8 weekly periods,exact concept term,false,,,2026-07-05
CG-0022,mixing bowls,199,8,concept,rule_keyword,0.70,term ~* 'mixing bowls' in last 8 weekly periods,broad term,true,,,2026-07-05
CG-0022,cook with color mixing bowls,568,6,concept,rule_keyword,0.70,term ~* 'mixing bowls' in last 8 weekly periods,broad term,true,,,2026-07-05
CG-0022,mixing bowls with lids set,870,8,concept,rule_keyword,0.70,term ~* 'mixing bowls' in last 8 weekly periods,broad term,true,,,2026-07-05
CG-0022,stainless steel mixing bowls,1243,8,concept,rule_keyword,0.70,term ~* 'mixing bowls' in last 8 weekly periods,broad term,true,,,2026-07-05
CG-0022,glass mixing bowls,1937,8,concept,rule_keyword,0.70,term ~* 'mixing bowls' in last 8 weekly periods,broad term,true,,,2026-07-05
CG-0023,glass drink dispenser,4937,8,concept,rule_keyword,0.85,term ~* 'glass drink dispenser' in last 8 weekly periods,exact concept term,false,,,2026-07-05
CG-0023,glass drink dispenser with stand,17447,8,concept,rule_keyword,0.85,term ~* 'glass drink dispenser' in last 8 weekly periods,exact concept term,false,,,2026-07-05
CG-0024,bento box for kids,281,8,concept,rule_keyword,0.75,term ~* 'bento box|bento' in last 8 weekly periods,term family,true,,,2026-07-05
CG-0024,bento box,383,8,concept,rule_keyword,0.75,term ~* 'bento box|bento' in last 8 weekly periods,term family,true,,,2026-07-05
CG-0024,bento box adult,1311,8,concept,rule_keyword,0.75,term ~* 'bento box|bento' in last 8 weekly periods,term family,true,,,2026-07-05
CG-0024,bento lunch box for kids,2148,8,concept,rule_keyword,0.75,term ~* 'bento box|bento' in last 8 weekly periods,term family,true,,,2026-07-05
CG-0024,stainless steel bento box,2376,8,concept,rule_keyword,0.75,term ~* 'bento box|bento' in last 8 weekly periods,term family,true,,,2026-07-05
CG-0026,chicken shredder,143,8,concept,rule_keyword,0.70,term ~* 'kitchen gadget set|chicken shredder' in last 8 weekly periods,hero-tool term included,true,,,2026-07-05
CG-0026,chicken shredder tool twist,1046,8,concept,rule_keyword,0.70,term ~* 'kitchen gadget set|chicken shredder' in last 8 weekly periods,hero-tool term included,true,,,2026-07-05
CG-0026,chicken shredder tool,15877,8,concept,rule_keyword,0.70,term ~* 'kitchen gadget set|chicken shredder' in last 8 weekly periods,hero-tool term included,true,,,2026-07-05
CG-0028,double wall tumbler,22609,2,concept,rule_keyword,0.65,term ~* 'insulated tumbler 2 pack|double wall tumbler' in last 8 weekly periods,no brand volume - review,true,,,2026-07-05
CG-0029,tramontina tri-ply clad stainless steel,3048,8,concept,rule_keyword,0.70,term ~* 'tri-ply|3 ply cookware|triply' in last 8 weekly periods,term family,true,,,2026-07-05
