concept_id,source,cb_product_id,asin,title,best_rank_90d,level_of_truth,match_type,match_confidence,evidence,caveats,human_review_needed,review_status,reviewer,valid_from
CG-0006,amazon,1921275,B0CP4XY9QC,YARRAMATE Oil Sprayer for Cooking 2 in 1 Olive Oil,2,product,rule_attribute,0.75,title ~* 'oil spray' in mapped category,strong two-token stem,true,,,2026-07-05
CG-0006,amazon,3545172,B0GZ5Z7VFC,Poshetion 2 in 1 Olive Oil Sprayer and Dispenser 16oz,2,product,rule_attribute,0.75,title ~* 'oil spray' in mapped category,strong two-token stem,true,,,2026-07-05
CG-0006,amazon,3421343,B0GSK1GZFW,Glass Oil Dispenser Bottle with Spray 2 in 1,11,product,rule_attribute,0.75,title ~* 'oil spray' in mapped category,strong two-token stem,true,,,2026-07-05
CG-0006,amazon,3525610,B0GVN3QTF3,Olive Oil Sprayer for Cooking Glass Oil Sprayer Mister,18,product,rule_attribute,0.75,title ~* 'oil spray' in mapped category,strong two-token stem,true,,,2026-07-05
CG-0007,amazon,3360575,B0GGGDT759,tifanso Stainless Steel Cake Pan Set of 3 8 Inch,1,product,rule_attribute,0.55,title ~* 'stackable' in mapped category,single token within Bakeware category,true,,,2026-07-05
CG-0007,amazon,1227914,B09VY7BW48,NutriChef 8-Piece Nonstick Stackable Bakeware Set,2,product,rule_attribute,0.55,title ~* 'stackable' in mapped category,single token within Bakeware category,true,,,2026-07-05
CG-0007,amazon,3507131,B0GWFVRB5W,NutriChef 8 Piece Nonstick Bakeware Set Carbon Steel,3,product,rule_attribute,0.55,title ~* 'stackable' in mapped category,single token within Bakeware category,true,,,2026-07-05
CG-0007,amazon,2007802,B09VXTT9QZ,NutriChef 8-Piece Nonstick Stackable Bakeware Set,3,product,rule_attribute,0.55,title ~* 'stackable' in mapped category,single token within Bakeware category,true,,,2026-07-05
CG-0007,amazon,2660203,B0D9W58553,Country Kitchen Nonstick Stackable Bakeware Set,4,product,rule_attribute,0.55,title ~* 'stackable' in mapped category,single token within Bakeware category,true,,,2026-07-05
CG-0008,amazon,2002491,B0C6Y8NYK1,Air Fryer Paper Liners 120Pcs Disposable,1,product,rule_attribute,0.80,"title ~* 'air fryer.{0,20}liner' in mapped category",strong proximity pair,true,,,2026-07-05
CG-0008,amazon,2002484,B0B6PLG6G2,Air Fryer Paper Liners 125Pcs Parchment Paper,1,product,rule_attribute,0.80,"title ~* 'air fryer.{0,20}liner' in mapped category",strong proximity pair,true,,,2026-07-05
CG-0008,amazon,3516599,B0GXPJBX7H,Air Fryer Liners 100 Count Square Parchment 8 Inch,3,product,rule_attribute,0.80,"title ~* 'air fryer.{0,20}liner' in mapped category",strong proximity pair,true,,,2026-07-05
CG-0008,amazon,3544387,B0G276ZQRB,400Pcs Air Fryer Liners Disposable Non-Stick,4,product,rule_attribute,0.80,"title ~* 'air fryer.{0,20}liner' in mapped category",strong proximity pair,true,,,2026-07-05
CG-0008,amazon,2002521,B0BKR66QGC,Reynolds Kitchens Air Fryer Liners Disposable,4,product,rule_attribute,0.80,"title ~* 'air fryer.{0,20}liner' in mapped category",strong proximity pair,true,,,2026-07-05
CG-0010,amazon,3406677,B0GK1ZR1TJ,Girece Candle Warmer Lamp with Timer and Dimmer,1,product,rule_attribute,0.80,title ~* 'candle warmer|warmer lamp' in mapped category,strong pair in Candles,true,,,2026-07-05
CG-0010,amazon,3609733,B0GWDV1FL5,Hong-in Candle Warmer Lamp with Timer Dimmer,1,product,rule_attribute,0.80,title ~* 'candle warmer|warmer lamp' in mapped category,strong pair in Candles,true,,,2026-07-05
CG-0010,amazon,3428601,B0GLFL395M,Candle Warmer Lamp with Timer & Dimmer,1,product,rule_attribute,0.80,title ~* 'candle warmer|warmer lamp' in mapped category,strong pair in Candles,true,,,2026-07-05
CG-0010,amazon,2024534,B0CTJGJL2T,GODONLIF Candle Warmer Lamp Adjustable Height,1,product,rule_attribute,0.80,title ~* 'candle warmer|warmer lamp' in mapped category,strong pair in Candles,true,,,2026-07-05
CG-0010,amazon,2759059,B0DZFGTCLR,Innqoo Candle Warmer Lamp with Timer Dimmable,1,product,rule_attribute,0.80,title ~* 'candle warmer|warmer lamp' in mapped category,strong pair in Candles,true,,,2026-07-05
CG-0011,amazon,3525607,B0GVM8N2CK,Meat Thermometer Digital Instant Read Food,1,product,rule_attribute,0.75,"title ~* 'instant read.{0,15}thermometer' in mapped category",attribute pair,true,,,2026-07-05
CG-0011,amazon,2022269,B00S93EQUK,Alpha Grillers Instant Read Meat Thermometer,2,product,rule_attribute,0.75,"title ~* 'instant read.{0,15}thermometer' in mapped category",attribute pair,true,,,2026-07-05
CG-0011,amazon,2022314,B07XXSYLL8,ThermoPro TP19H Digital Meat Thermometer,4,product,rule_attribute,0.75,"title ~* 'instant read.{0,15}thermometer' in mapped category",attribute pair,true,,,2026-07-05
CG-0011,amazon,2714281,B0F5X4FM3Q,0.5 Sec Instant Read Meat Thermometer Digital,6,product,rule_attribute,0.75,"title ~* 'instant read.{0,15}thermometer' in mapped category",attribute pair,true,,,2026-07-05
CG-0011,amazon,3558529,B0GZ3173YY,Smart Bluetooth Meat Thermometer Digital 6 Sensors,9,product,rule_attribute,0.75,"title ~* 'instant read.{0,15}thermometer' in mapped category",attribute pair,true,,,2026-07-05
CG-0012,amazon,3353686,B0GD71NSS8,Heat Resistant Meat Chopper Nylon Ground Beef Masher,7,product,rule_attribute,0.80,title ~* 'meat chopper' in mapped category,exact product term,true,,,2026-07-05
CG-0012,amazon,2010977,B08JKXDFQ9,Meat Chopper for Hamburger Premium Heat Resistant,9,product,rule_attribute,0.80,title ~* 'meat chopper' in mapped category,exact product term,true,,,2026-07-05
CG-0012,amazon,3547135,B0GS5N64FN,Meat Chopper 5-Blade Curved Potato Masher,28,product,rule_attribute,0.80,title ~* 'meat chopper' in mapped category,exact product term,true,,,2026-07-05
CG-0012,amazon,3381985,B0FQB7WL2D,EcoTeak Teak Wooden Meat Chopper Ground Beef,31,product,rule_attribute,0.80,title ~* 'meat chopper' in mapped category,exact product term,true,,,2026-07-05
CG-0012,amazon,2002104,B08JLC49HY,Upgrade Meat Chopper Heat Resistant Meat Masher,50,product,rule_attribute,0.80,title ~* 'meat chopper' in mapped category,exact product term,true,,,2026-07-05
CG-0013,amazon,2722431,B0D9QBSDGW,Urban Green Glass Food Storage Containers Glass Lids,1,product,rule_attribute,0.75,"title ~* 'glass.{0,40}(meal prep|divided)|(meal prep|divided).{0,40}glass' in mapped category",material+function proximity,true,,,2026-07-05
CG-0013,amazon,1513244,B0CZTMHKQT,Glass Food Storage Containers with Glass Lids,1,product,rule_attribute,0.75,"title ~* 'glass.{0,40}(meal prep|divided)|(meal prep|divided).{0,40}glass' in mapped category",material+function proximity,true,,,2026-07-05
CG-0013,amazon,3583960,B0GRTKQBCN,Dealusy 10 Sets 20-Piece Glass Meal Prep Containers,1,product,rule_attribute,0.75,"title ~* 'glass.{0,40}(meal prep|divided)|(meal prep|divided).{0,40}glass' in mapped category",material+function proximity,true,,,2026-07-05
CG-0013,amazon,3367746,B0GFWRN61Q,KEMETHY 40 PCS Glass Food Storage Containers,1,product,rule_attribute,0.75,"title ~* 'glass.{0,40}(meal prep|divided)|(meal prep|divided).{0,40}glass' in mapped category",material+function proximity,true,,,2026-07-05
CG-0013,amazon,3644145,B0GR4K5WF3,Ello Duraglass Refresh 3.4 Cup Meal Prep Sets 10Pc,2,product,rule_attribute,0.75,"title ~* 'glass.{0,40}(meal prep|divided)|(meal prep|divided).{0,40}glass' in mapped category",material+function proximity,true,,,2026-07-05
CG-0014,amazon,3382034,B0G2LL8WS1,24 Pack Square Glass Spice Jars with Bamboo Lids,10,product,rule_attribute,0.65,"title ~* 'bamboo.{0,30}(lid|glass)|glass.{0,40}bamboo' in mapped category",catches spice jars - review,true,,,2026-07-05
CG-0014,amazon,2326644,B0DMP7H3Q9,10oz Overnight Oats Containers Glass Jars Bamboo Lids,18,product,rule_attribute,0.65,"title ~* 'bamboo.{0,30}(lid|glass)|glass.{0,40}bamboo' in mapped category",catches spice jars - review,true,,,2026-07-05
CG-0014,amazon,1779458,B09Z7TVWN1,AISIPRIN 24 Pcs Glass Spice Jars with Bamboo Lids,25,product,rule_attribute,0.65,"title ~* 'bamboo.{0,30}(lid|glass)|glass.{0,40}bamboo' in mapped category",catches spice jars - review,true,,,2026-07-05
CG-0014,amazon,2683867,B0CFHKLR7Z,HomArtist Square Glass Jars with Bamboo Lids Set of 5,27,product,rule_attribute,0.65,"title ~* 'bamboo.{0,30}(lid|glass)|glass.{0,40}bamboo' in mapped category",catches spice jars - review,true,,,2026-07-05
CG-0014,amazon,3067901,B0CLM6PS1G,EDELHAUS Square Spice Jars with Bamboo Wooden Lid,35,product,rule_attribute,0.65,"title ~* 'bamboo.{0,30}(lid|glass)|glass.{0,40}bamboo' in mapped category",catches spice jars - review,true,,,2026-07-05
CG-0015,amazon,3656015,B0GWR5PP3C,FAOGO 5 Pieces Silicone Spatula Set Food Grade,1,product,rule_attribute,0.70,"title ~* 'silicone.{0,30}(utensil|tool|spatula)' in mapped category",material+type proximity,true,,,2026-07-05
CG-0015,amazon,3607456,B0GWCGDW49,Astercook Cooking Spoon Nonstick Silicone Spatula,1,product,rule_attribute,0.70,"title ~* 'silicone.{0,30}(utensil|tool|spatula)' in mapped category",material+type proximity,true,,,2026-07-05
CG-0015,amazon,2010726,B08573DQ39,Umite Chef Kitchen Cooking Utensils Set 33 pcs Silicone,3,product,rule_attribute,0.70,"title ~* 'silicone.{0,30}(utensil|tool|spatula)' in mapped category",material+type proximity,true,,,2026-07-05
CG-0015,amazon,3476179,B0GTMS3JLP,Core Kitchen Silicone and Wheat Fiber Utensils 6-Piece,6,product,rule_attribute,0.70,"title ~* 'silicone.{0,30}(utensil|tool|spatula)' in mapped category",material+type proximity,true,,,2026-07-05
CG-0015,amazon,3528013,B0GTMYRSYK,Core Kitchen Silicone and Wheat Fiber Utensils 6-Piece,7,product,rule_attribute,0.70,"title ~* 'silicone.{0,30}(utensil|tool|spatula)' in mapped category",material+type proximity,true,,,2026-07-05
CG-0016,amazon,3411590,B0GRMHHYKV,Multi-Compartment Rotating Snack Container Clear Lid,38,product,rule_attribute,0.70,"title ~* 'lazy susan|rotating.{0,25}(fridge|organizer)|fridge.{0,25}rotating' in mapped category",function terms,true,,,2026-07-05
CG-0016,amazon,3466572,B0GRM9WG58,Multi-Compartment Rotating Snack Container Clear Lid,49,product,rule_attribute,0.70,"title ~* 'lazy susan|rotating.{0,25}(fridge|organizer)|fridge.{0,25}rotating' in mapped category",function terms,true,,,2026-07-05
CG-0016,amazon,3448104,B0GRM5CWFF,Multi-Compartment Rotating Snack Container Clear Lid,67,product,rule_attribute,0.70,"title ~* 'lazy susan|rotating.{0,25}(fridge|organizer)|fridge.{0,25}rotating' in mapped category",function terms,true,,,2026-07-05
CG-0017,amazon,2917138,B0F7RV7KY8,nuovva Dutch Oven for Sourdough Bread Enamelled Cast Iron,19,product,rule_attribute,0.80,"title ~* 'cast iron.{0,30}bread|bread.{0,30}cast iron' in mapped category",material+use proximity,true,,,2026-07-05
CG-0017,amazon,2931211,B0F7RVG7MQ,nuovva Dutch Oven For Sourdough Bread Enamelled Cast Iron,21,product,rule_attribute,0.80,"title ~* 'cast iron.{0,30}bread|bread.{0,30}cast iron' in mapped category",material+use proximity,true,,,2026-07-05
CG-0017,amazon,3566880,B0GSQ2SDZ3,Enameled Cast Iron Double Round Bread Loaf Pan,23,product,rule_attribute,0.80,"title ~* 'cast iron.{0,30}bread|bread.{0,30}cast iron' in mapped category",material+use proximity,true,,,2026-07-05
CG-0017,amazon,3463755,B0GGGQ3MPP,Mezzalur 11x5 Inch Cast Iron Bread Pan with Lid,30,product,rule_attribute,0.80,"title ~* 'cast iron.{0,30}bread|bread.{0,30}cast iron' in mapped category",material+use proximity,true,,,2026-07-05
CG-0017,amazon,3459424,B0GHQ45T2H,FUNKYLEE Enameled Cast Iron Bread Pan with Lid,37,product,rule_attribute,0.80,"title ~* 'cast iron.{0,30}bread|bread.{0,30}cast iron' in mapped category",material+use proximity,true,,,2026-07-05
CG-0018,amazon,3647184,B0GZWVZ4LL,OXO Good Grips Ceramic Coated Metal Bakeware Loaf Pan,1,product,rule_attribute,0.60,"title ~* 'ceramic.{0,30}bakeware|bakeware.{0,30}ceramic' in mapped category",missing modular/stackable qualifier - review,true,,,2026-07-05
CG-0018,amazon,3377042,B0G1KY973X,Sio 9x13 Glass Baking Dish with Glass Lid,2,product,rule_attribute,0.60,"title ~* 'ceramic.{0,30}bakeware|bakeware.{0,30}ceramic' in mapped category",missing modular/stackable qualifier - review,true,,,2026-07-05
CG-0018,amazon,2008959,B08T99DPF3,MALACASA Casserole Dishes Porcelain Ceramic Bakeware Set,4,product,rule_attribute,0.60,"title ~* 'ceramic.{0,30}bakeware|bakeware.{0,30}ceramic' in mapped category",missing modular/stackable qualifier - review,true,,,2026-07-05
CG-0018,amazon,3435473,B0FJV7852C,Pyrex 8-Piece Ceramic Complete Bakeware Set,8,product,rule_attribute,0.60,"title ~* 'ceramic.{0,30}bakeware|bakeware.{0,30}ceramic' in mapped category",missing modular/stackable qualifier - review,true,,,2026-07-05
CG-0018,amazon,3435472,B0FJTVK59F,Pyrex 3-Piece Ceramic Bakeware Set Casserole,10,product,rule_attribute,0.60,"title ~* 'ceramic.{0,30}bakeware|bakeware.{0,30}ceramic' in mapped category",missing modular/stackable qualifier - review,true,,,2026-07-05
CG-0019,amazon,1999092,B0036POD8Q,CreativeWare Beverage Dispenser with Ice Cylinder 3 Gal,7,product,rule_attribute,0.70,title ~* 'beverage dispenser|drink dispenser' in mapped category,type term,true,,,2026-07-05
CG-0019,amazon,2804714,B073JY752D,Circleware Sun Tea Mini Mason Jar Glass Beverage Dispenser,8,product,rule_attribute,0.70,title ~* 'beverage dispenser|drink dispenser' in mapped category,type term,true,,,2026-07-05
CG-0020,amazon,1536758,B0CHHVKMPL,Sevenblue 4 Pack Magnetic Spice Rack for Refrigerator,1,product,rule_attribute,0.80,"title ~* 'magnetic.{0,25}spice|spice.{0,25}magnetic' in mapped category",attribute+type proximity,true,,,2026-07-05
CG-0020,amazon,2001729,B0C3H9MJQV,HuggieGems 4 Pack Magnetic Spice Storage Rack,4,product,rule_attribute,0.80,"title ~* 'magnetic.{0,25}spice|spice.{0,25}magnetic' in mapped category",attribute+type proximity,true,,,2026-07-05
CG-0020,amazon,2786172,B0F488W76G,Beeveer 2 Pack Bat Magnetic Spice Rack Gothic,88,product,rule_attribute,0.80,"title ~* 'magnetic.{0,25}spice|spice.{0,25}magnetic' in mapped category",attribute+type proximity,true,,,2026-07-05
CG-0022,amazon,2710403,B0F3GGNSFD,Handstand Kitchen Bluey My First Real Kitchen Tools,36,product,rule_attribute,0.55,title ~* 'mixing bowl' in mapped category,single term; broad - review,true,,,2026-07-05
CG-0023,amazon,2804714,B073JY752D,Circleware Sun Tea Mini Mason Jar Glass Beverage Dispenser,8,product,rule_attribute,0.65,"title ~* 'glass.{0,35}dispenser|dispenser.{0,35}glass|drink jar' in mapped category",material+type proximity,true,,,2026-07-05
CG-0024,amazon,3341614,B0G5YNWGZK,FoldTier 4 Pack Stainless Steel Snack Container 3-comp,1,product,rule_attribute,0.70,title ~* 'bento' in mapped category,type term,true,,,2026-07-05
CG-0024,amazon,3625774,B0GSFJN98W,FoldTier 4 Pack Stainless Steel Snack Container 3-comp,1,product,rule_attribute,0.70,title ~* 'bento' in mapped category,type term,true,,,2026-07-05
CG-0024,amazon,3630486,B0GSFK84QH,FoldTier 6 Pack Stainless Steel Snack Container 3-comp,1,product,rule_attribute,0.70,title ~* 'bento' in mapped category,type term,true,,,2026-07-05
CG-0024,amazon,3420774,B0GF7VLM6J,Glotoch 100 Pack Meal Prep Containers 32 oz,1,product,rule_attribute,0.70,title ~* 'bento' in mapped category,type term,true,,,2026-07-05
CG-0024,amazon,2011227,B0B9S5HZ26,Vtopmart 8 Pack Glass Food Storage Airtight Bento,3,product,rule_attribute,0.70,title ~* 'bento' in mapped category,type term,true,,,2026-07-05
CG-0026,amazon,1135574,B07JDSL353,COOK With COLOR 7 Pc Kitchen Gadget Set Copper Stainless,2,product,rule_attribute,0.65,"title ~* 'non.?slip.{0,30}(gadget|tool|grater|shredder)|kitchen gadget set' in mapped category",type terms,true,,,2026-07-05
CG-0026,amazon,1823827,B0D88HLFWT,COOK WITH COLOR Kitchen Gadget Set Stainless Soft Touch,2,product,rule_attribute,0.65,"title ~* 'non.?slip.{0,30}(gadget|tool|grater|shredder)|kitchen gadget set' in mapped category",type terms,true,,,2026-07-05
CG-0026,amazon,1605611,B07JFFTT24,COOK With COLOR 7 Pc Kitchen Gadget Set Copper Stainless,2,product,rule_attribute,0.65,"title ~* 'non.?slip.{0,30}(gadget|tool|grater|shredder)|kitchen gadget set' in mapped category",type terms,true,,,2026-07-05
CG-0026,amazon,3420957,B0GHPRVD1Z,Chicken Shredder Tool Twist Visible Breast Shredder,6,product,rule_attribute,0.65,"title ~* 'non.?slip.{0,30}(gadget|tool|grater|shredder)|kitchen gadget set' in mapped category",type terms,true,,,2026-07-05
CG-0026,amazon,1823828,B0D883N35Z,COOK WITH COLOR Kitchen Gadget Set Stainless Soft Touch,2,product,rule_attribute,0.65,"title ~* 'non.?slip.{0,30}(gadget|tool|grater|shredder)|kitchen gadget set' in mapped category",type terms,true,,,2026-07-05
CG-0027,amazon,3607606,B0GXZ2HWGJ,DANGEAB Funny Lavender Scented Soy Candle,1,product,rule_attribute,0.55,title ~* 'soy candle' in mapped category,generic in Candles - review,true,,,2026-07-05
CG-0027,amazon,3426006,B0GJCY2TJ9,Citronella Candles Outdoor 34OZ Large,1,product,rule_attribute,0.55,title ~* 'soy candle' in mapped category,generic in Candles - review,true,,,2026-07-05
CG-0027,amazon,1418326,B0CCGM4BCZ,Candle Gifts for Mom from Daughter or Son,3,product,rule_attribute,0.55,title ~* 'soy candle' in mapped category,generic in Candles - review,true,,,2026-07-05
CG-0027,amazon,3506775,B0GQR3N1RT,4 Pack Scented Candles for Mom Aromatherapy Gift Set,5,product,rule_attribute,0.55,title ~* 'soy candle' in mapped category,generic in Candles - review,true,,,2026-07-05
CG-0027,amazon,2024530,B000YBFJQU,Capri Blue Volcano Scented Candles Luxury,6,product,rule_attribute,0.55,title ~* 'soy candle' in mapped category,generic in Candles - review,true,,,2026-07-05
CG-0028,amazon,3401191,B0D7KNVDMW,Silver Buffalo Disney Lilo and Stitch Double Wall,37,product,rule_attribute,0.60,"title ~* 'primula|double.?wall.{0,25}stainless' in mapped category",brand term or attribute pair - review non-brand hits,true,,,2026-07-05
CG-0028,amazon,3643922,B0D83KHBY2,40 oz Tumbler with Handle Double Wall Insulated,46,product,rule_attribute,0.60,"title ~* 'primula|double.?wall.{0,25}stainless' in mapped category",brand term or attribute pair - review non-brand hits,true,,,2026-07-05
CG-0028,amazon,2484749,B0D75NGVTR,40 oz Tumbler with Handle Double Wall Insulated,50,product,rule_attribute,0.60,"title ~* 'primula|double.?wall.{0,25}stainless' in mapped category",brand term or attribute pair - review non-brand hits,true,,,2026-07-05
CG-0028,amazon,3532311,B0DYKZVCWL,Silver Buffalo Peanuts Snoopy Double Walled Stainless,50,product,rule_attribute,0.60,"title ~* 'primula|double.?wall.{0,25}stainless' in mapped category",brand term or attribute pair - review non-brand hits,true,,,2026-07-05
CG-0028,amazon,3643938,B0DK2HSBDX,Silver Buffalo Pokemon Pikachu Double Walled Stainless,61,product,rule_attribute,0.60,"title ~* 'primula|double.?wall.{0,25}stainless' in mapped category",brand term or attribute pair - review non-brand hits,true,,,2026-07-05
CG-0029,amazon,3562329,B0GP2MS45Z,Viking 3-Ply Stainless Steel 11-Piece Cookware Set,2,product,rule_attribute,0.60,title ~* 'tri.?ply|3.?ply|triply' in mapped category,catches 3-ply accessories - review,true,,,2026-07-05
CG-0029,amazon,3435897,B0GJ5SJPYL,10 Ounce Butter Warmer Pot Mini 3-Ply,3,product,rule_attribute,0.60,title ~* 'tri.?ply|3.?ply|triply' in mapped category,catches 3-ply accessories - review,true,,,2026-07-05
CG-0029,amazon,3623352,B0GVK81WCF,Fruikit Tri-Ply Stainless Steel Cookware Set 21 PCS,3,product,rule_attribute,0.60,title ~* 'tri.?ply|3.?ply|triply' in mapped category,catches 3-ply accessories - review,true,,,2026-07-05
CG-0029,amazon,3415920,B0GGZ1SQR9,Fruikit Stainless Steel Cookware Set 20 PCS 3-Ply,3,product,rule_attribute,0.60,title ~* 'tri.?ply|3.?ply|triply' in mapped category,catches 3-ply accessories - review,true,,,2026-07-05
CG-0029,amazon,2000263,B004T6M6XA,All-Clad D3 3-Ply Stainless Butter Warmer 0.5 Qt,4,product,rule_attribute,0.60,title ~* 'tri.?ply|3.?ply|triply' in mapped category,catches 3-ply accessories - review,true,,,2026-07-05
